"NO_OUV","ADR","ACC_UNI","ASC","TYP_CHA","x","y","Longitude","lat"
244,"6777 Rue Saint-André , Montréal","NON","0","Électricité",296437.94488954,5044309.9977048,-73.607073,45.538655
245,"1000 Rue Saint-Jacques , Montréal","1","0","",299807.65541159,5039578.4609035,-73.563877,45.496111
246,"2269 Rue Viau , Montréal","NON","?","Électricité",301657.47292924,5046807.6688399,-73.540255,45.561173
248,"5035 Rue de Rouen , Montréal","NON","?","Électricité",301775.2919184,5046852.9532118,-73.538746,45.561581
251,"2455 Rue Larivière , Montréal","NON","0","",300406.87929315,5043711.2999042,-73.556247,45.533304
252,"2255 Rue du Havre , Montréal","NON","0","",300441.70369614,5043926.640694,-73.555803,45.535242
256,"5600 Chemin Upper Lachine , Montréal","NON","?","Électricité",296325.5038044,5036625.1257768,-73.60838,45.469502
257,"2150 Rue Liébert , Montréal","NON","?","",303306.86454256,5050496.5249767,-73.519138,45.594372
259,"9093 16e Avenue , Montréal","NON","0","Électricité",294978.09964774,5048356.3083517,-73.625847,45.575046
260,"3400 Boulevard des Trinitaires , Montréal","2","1","Électricité",296843.22604553,5033850.7579283,-73.601714,45.444543
261," Avenue Atwater , Montréal","NON","0","",299146.32168766,5037255.286615,-73.572312,45.475201
263,"1055 Rue d' Hibernia , Montréal","1","1","Électricité",299862.73768614,5037771.9864993,-73.563154,45.479856
264,"3150 Boulevard des Trinitaires , Montréal","NON","0","",296977.44269294,5033899.8226652,-73.599999,45.444986
265,"3170 Boulevard Pierre-Bernard , Montréal","NON","?","",302757.25430002,5051805.7113708,-73.526188,45.606151
266,"1050 Rue d' Hibernia , Montréal","1","1","Électricité",299818.65866919,5037691.5687354,-73.563717,45.479132
268,"7060 Avenue Bloomfield , Montréal","NON","0","Électricité",295162.34235012,5043011.3723304,-73.623381,45.526953
270,"855 Avenue du Docteur-Penfield , Montréal","1","1","",298642.67932713,5040629.6723916,-73.578796,45.505561
271,"1900 Rue Bossuet , Montréal","NON","0","",302638.84143189,5047738.3086876,-73.527688,45.569551
272,"335 Rue D'Youville , Montréal","NON","1","Électricité",300471.03471864,5040139.5050689,-73.555394,45.501164
273,"1212 Rue Drummond , Montréal","NON","0","Électricité",299095.83372683,5039772.0995981,-73.572987,45.497848
276,"6750 Rue de Marseille , Montréal","1","0","Électricité",301840.18144428,5049197.9096032,-73.537929,45.582682
279,"4681 Rue Saint-Ambroise , Montréal","NON","0","",298126.81295778,5036831.655716,-73.585346,45.47138
280,"523 Place Saint-Henri , Montréal","NON","1","Électricité",298155.1129404,5037570.8670824,-73.584994,45.478032
